294.5,69,65,0.5,0
295,67,64,0.5,0
295,76,69,0.5,6
295.5,69,65,0.5,0
296,69,65,0.75,0
296.5,74,68,0.5,6
296.75,72,67,0.25,0
297,74,68,0.25,0
297.25,76,69,0.25,0
297.5,72,67,0.5,6
297.5,74,68,0.25,0
297.75,72,67,0.25,0
298,69,65,0.75,0
298,74,68,0.5,6
298.75,71,66,0.75,0
299,74,68,0.5,6
299.5,67,64,0.5,0
300,69,65,0.75,0
300.5,77,70,0.5,6
300.75,71,66,0.25,0
301,72,67,0.25,0
301.25,71,66,0.25,0
301.5,69,65,0.25,0
301.5,77,70,0.25,6
301.75,67,64,0.25,0
302,69,65,0.5,0
302,77,70,0.5,6
302.5,69,65,0.5,0
303,67,64,0.5,0
303,77,70,0.5,6
303.5,69,65,0.5,0
303.5,79,71,0.5,6
304,69,65,0.75,0
